AREA_CD,CATEGORY,AREA_NM,ADM_CD,ADM_NM,overlap_area,poi_area,poi_share
POI013,인구밀집지역,가산디지털단지역,11170520,구로1동,9.623968181418423,1166212.6880346483,8.252326766944327e-06
POI013,인구밀집지역,가산디지털단지역,31060580,철산1동,8.690464914597252,1166212.6880346483,7.451869632153288e-06
POI013,인구밀집지역,가산디지털단지역,31060600,철산3동,7.491171935749605,1166212.6880346483,6.423504059430232e-06
POI014,인구밀집지역,강남역,11230640,역삼1동,421780.29082141037,634465.5807451995,0.6647804130304694
POI014,인구밀집지역,강남역,11220540,서초4동,121141.77310628131,634465.5807451995,0.1909351378273295
POI014,인구밀집지역,강남역,11220520,서초2동,91543.51681748696,634465.5807451995,0.14428444914216823
POI015,인구밀집지역,건대입구역,11050670,자양4동,214293.24639711186,384867.8861349556,0.5567969012669688
POI015,인구밀집지역,건대입구역,11050530,화양동,101970.51617969094,384867.8861349556,0.26494940173817083
POI015,인구밀집지역,건대입구역,11050660,자양3동,68601.54604534041,384867.8861349556,0.1782469998582448
POI015,인구밀집지역,건대입구역,11040680,성수2가3동,2.5775128061912964,384867.8861349556,6.697136599460211e-06
POI016,인구밀집지역,고덕역,11250540,명일2동,105738.28647668692,107356.35466461795,0.9849280632433368
POI016,인구밀집지역,고덕역,11250760,상일1동,1369.7567365722157,107356.35466461795,0.012758972124671576
POI016,인구밀집지역,고덕역,11250550,고덕1동,248.31145135717952,107356.35466461795,0.0023129646319764337
POI017,인구밀집지역,고속터미널역,11220600,반포4동,244364.3364088355,244370.1209351547,0.9999763288314583
POI017,인구밀집지역,고속터미널역,11220570,반포1동,3.133480397422936,244370.1209351547,1.2822682189752759e-05
POI017,인구밀집지역,고속터미널역,11220580,반포2동,1.9692423480785988,244370.1209351547,8.058441598926698e-06
POI018,인구밀집지역,교대역,11220530,서초3동,124951.34408122156,213634.35685478785,0.5848841259468103
POI018,인구밀집지역,교대역,11220510,서초1동,66417.9013206317,213634.35685478785,0.3108952244314217
